muni_code,muni_name,pref_code,base_url,procurement_url,detection_method,confidence,score,page_title,kw_count,has_recent
075035,平田村,07,https://www.vill.hirata.fukushima.jp/,https://www.vill.hirata.fukushima.jp/soshiki/1/163.html,homepage_link,high,10,入札情報 - 平田村公式ホームページ,9,True
075043,浅川町,07,https://www.town.asakawa.fukushima.jp/,https://www.town.asakawa.fukushima.jp/consultation/001729.html,db_title,high,10,浅川町インターネット公有財産売却 契約に係る提出書類 | 浅川町役場公式ホームページ,3,True
075051,古殿町,07,https://www.town.furudono.fukushima.jp/,https://www.town.furudono.fukushima.jp/chouseijyouhou/nyuusatsusankashikaku/2503,homepage_link,high,10,入札参加資格申請について | 町政情報 | 古殿町,4,True
075213,三春町,07,https://www.town.miharu.fukushima.jp/,https://www.town.miharu.fukushima.jp/soshiki/7/5_46_1_1.html,db_title,high,6,三春町土地改良区 令和７年度の入札結果を公表します | 三春町公式ホームページ【福島県三春町】Miharu Town,1,True
075221,小野町,07,https://www.town.ono.fukushima.jp/,https://www.town.ono.fukushima.jp/soshiki/2/nyuusatsu.html,db_url_path,high,10,入札に参加される皆様へ - 小野町ホームページ,5,True
075418,広野町,07,https://www.town.hirono.fukushima.jp/,https://www.town.hirono.fukushima.jp/business/nyusatsu/index.html,homepage_link,high,7,入札・契約・プロポーザル｜広野町公式ウェブサイト,6,False
075426,楢葉町,07,https://www.town.naraha.lg.jp/,https://www.town.naraha.lg.jp/work/cat339/,homepage_link,high,7,入札・契約｜楢葉町公式ホームページ,6,False
075434,富岡町,07,https://www.tomioka-town.jp/,https://www.tomioka-town.jp/soshiki/fukushi/,db_title_dir,high,5,福祉課 - 富岡町ホームページ,2,True
075442,川内村,07,https://www.kawauchimura.jp/,https://www.kawauchimura.jp/bid/,homepage_link,high,10,入札情報&nbsp;|&nbsp;川内村公式ホームページ,6,True
075450,大熊町,07,https://www.town.okuma.fukushima.jp/,https://www.town.okuma.fukushima.jp/life/4/24/106/,homepage_link,high,10,入札情報 - 大熊町ホームページ,5,True
075469,双葉町,07,https://www.town.fukushima-futaba.lg.jp/,https://www.town.fukushima-futaba.lg.jp/3909.htm,homepage_link,high,10,入札・契約| 双葉町公式ホームページ,5,True
075477,浪江町,07,https://www.town.namie.fukushima.jp/,https://www.town.namie.fukushima.jp/life/11/1/,db_title_dir,high,10,入札・契約情報 - 浪江町ホームページ,7,True
075485,葛尾村,07,https://www.katsurao.org/,https://www.katsurao.org/life/2/12/,homepage_link,high,10,入札情報 - 葛尾村ホームページ,4,True
075612,新地町,07,https://www.shinchi-town.jp/,https://www.shinchi-town.jp/soshiki/8/gotochirecipe2026.html,homepage_link,high,10,令和8年度新地の海の幸を活かした交流促進事業業務委託公募型プロポーザルの実施について - 新地町ホームページ,4,True
075647,飯舘村,07,https://www.vill.iitate.fukushima.jp/,https://www.vill.iitate.fukushima.jp/life/4/14/,db_title_dir,high,8,入札・契約情報 - 飯舘村ホームページ,2,True
082015,水戸市,08,https://www.city.mito.lg.jp/,https://www.city.mito.lg.jp/page/4089.html,db_title,high,10,工事関係書類の簡素化・標準化について（契約検査課） - 水戸市ホームページ,3,True
